1902	3.72	28.32	7.04	4.62	2.06	0.00	M	M	M	5.94	7.59	5.52	M
1903	10.51	4.00	12.39	0.31	0.00	T	0.00	0.00	M	1.74	14.61	4.11	M
1904	2.05	M	22.37	2.44	M	M	M	M	5.57	6.57	3.88	4.98	M
1905	8.77	7.22	8.22	1.61	3.51	M	0.00	M	0.08	T	M	3.95	M
1906	16.39	11.14	M	1.06	7.47	2.00	M	M	M	T	2.57	11.06	M
1907	M	4.36	19.11	2.08	M	1.65	M	M	0.11	2.01	M	M	M
1908	8.60	8.96	2.08	M	1.39	0.28	M	M	M	M	4.26	5.35	M
1909	31.42	16.39	5.63	M	M	M	M	M	2.41	3.13	3.03	13.79	M
1910	M	5.49	6.03	0.76	M	M	M	M	0.70	M	1.12	M	M
1911	M	6.78	M	4.90	1.52	M	M	M	0.03	0.10	1.86	4.07	M
1912	6.83	1.76	7.31	M	M	M	M	M	4.24	1.07	7.31	1.89	M
1913	12.57	1.16	3.75	1.01	1.21	T	0.19	0.02	M	0.00	M	18.96	M
1914	21.64	8.12	1.63	2.60	0.83	T	0.00	0.00	0.51	3.32	0.42	9.19	48.26
1915	16.91	M	5.31	M	9.70	M	M	M	M	0.34	1.14	12.09	M
1916	26.80	7.94	3.08	M	0.20	M	M	0.45	1.56	1.08	M	9.93	M
1917	M	11.02	M	M	0.03	M	M	M	M	0.04	M	3.48	M
1918	M	M	4.03	M	M	M	0.00	0.00	M	0.90	9.23	4.57	M
1919	6.72	20.81	6.18	0.28	M	M	M	M	M	M	M	11.35	M
1920	M	1.82	5.18	6.07	M	M	M	M	M	3.44	M	11.37	M
1921	M	2.43	M	0.89	0.70	M	M	M	M	M	M	M	M
1922	M	9.10	M	M	M	M	0.00	M	M	M	M	M	M
1923	M	M	M	M	M	M	M	M	M	0.47	M	4.18	M
1924	6.77	M	2.22	M	M	M	0.00	M	0.00	6.51	5.82	11.73	M
1925	M	M	4.61	2.55	M	M	M	M	1.25	M	M	1.74	M
1926	M	13.22	0.44	8.13	0.33	0.00	0.00	0.08	0.00	3.97	20.38	2.60	M
1927	11.79	14.12	3.76	4.69	M	0.50	T	0.00	T	2.65	7.08	5.98	M
1928	7.18	4.32	10.98	2.90	M	0.00	0.00	0.00	T	0.22	6.46	8.99	M
1929	1.38	4.70	3.28	2.97	0.00	1.75	0.00	0.00	0.00	T	0.00	11.52	25.60
1930	M	6.13	5.59	1.78	0.31	0.00	0.00	0.00	0.41	1.20	3.98	1.46	M
1931	11.02	2.18	3.98	0.49	1.23	0.49	0.00	0.00	0.00	3.53	4.07	18.30	45.29
1932	4.71	3.76	2.17	1.98	3.22	0.00	0.00	0.00	0.00	0.00	0.91	6.42	23.17
1933	12.36	1.63	6.92	0.05	2.42	0.00	0.00	0.00	T	6.44	0.00	9.39	39.21
1934	1.83	10.07	0.28	0.71	1.08	0.93	0.00	0.00	0.26	2.04	8.41	4.66	30.27
1935	13.06	3.75	7.31	8.90	0.02	0.00	0.00	0.23	T	1.50	3.08	6.67	44.52
1936	13.17	17.08	2.04	2.89	0.91	0.96	0.00	T	0.00	0.30	0.02	6.19	43.56
1937	9.27	13.44	9.71	1.91	0.33	1.87	0.00	0.00	0.00	1.71	9.61	13.09	60.94
1938	9.28	M	15.32	4.22	0.00	0.00	0.00	0.00	0.27	1.78	3.09	2.21	M
1939	6.82	3.19	3.14	0.28	1.20	0.00	0.00	0.00	0.79	0.64	0.58	3.65	20.29
1940	27.73	19.53	12.27	2.35	2.79	0.12	0.00	0.00	0.49	3.30	5.74	17.61	91.93
1941	18.02	17.29	7.69	7.33	1.48	0.65	0.00	0.09	0.00	2.19	6.75	15.91	77.40
1942	11.91	14.19	5.16	7.51	3.47	0.00	0.00	T	0.11	1.34	10.23	10.33	64.25
1943	18.30	3.58	8.35	2.46	0.00	0.06	0.00	0.00	0.00	1.35	2.59	4.19	40.88
1944	9.10	11.78	3.18	3.77	2.22	0.41	0.00	T	0.02	3.72	9.07	8.62	51.89
1945	3.55	10.48	7.37	0.93	2.07	0.00	0.11	0.00	T	4.77	5.65	17.59	52.52
1946	2.68	4.40	3.41	0.79	1.07	0.00	T	0.00	T	0.06	7.15	4.72	24.28
1947	1.15	3.85	7.09	1.07	1.18	2.03	0.00	0.00	0.00	8.53	1.61	2.66	29.17
1948	5.48	2.14	6.06	7.89	0.86	0.00	0.00	0.00	0.26	0.56	2.60	10.96	36.81
1949	4.42	9.29	9.73	0.00	0.15	0.00	0.05	0.00	M	M	3.94	M	M
1950	M	7.92	3.78	1.45	1.07	0.04	0.00	0.00	0.00	5.59	13.08	16.03	M
1951	11.33	5.21	3.72	2.56	1.09	0.00	0.00	0.11	T	3.03	7.67	19.57	54.29
1952	18.58	4.43	8.65	M	1.23	1.53	M	0.00	0.10	0.06	M	24.19	M
1953	11.49	0.04	8.57	6.38	1.40	0.24	T	0.27	0.01	1.31	5.30	0.88	35.89
1954	9.86	5.89	9.81	6.40	0.52	0.20	0.05	0.83	0.01	1.21	6.66	8.36	49.80
1955	6.36	2.75	1.03	5.18	0.06	0.00	0.00	0.00	0.03	0.26	5.24	32.87	53.78
1956	15.75	9.84	0.20	2.01	1.30	0.00	T	0.00	0.15	6.65	0.38	0.58	36.86
1957	M	7.26	4.70	3.05	7.14	T	0.00	0.00	2.32	8.93	1.40	5.26	M
1958	13.83	22.91	6.52	9.17	0.52	0.66	0.07	0.00	0.08	0.10	0.82	3.44	58.12
